uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q611704,James D. Halsell,1956,education,http://www.wikidata.org/entity/Q7986016,West Monroe High School,1,high school,1941-1960
http://www.wikidata.org/entity/Q611704,James D. Halsell,1956,employment,http://www.wikidata.org/entity/Q23548,National Aeronautics and Space Administration,2,space agency | independent agency of the United States government,1941-1960
http://www.wikidata.org/entity/Q611704,James D. Halsell,1956,education,http://www.wikidata.org/entity/Q1331280,United States Air Force Academy,2,Field Operating Agency | air force academy,1941-1960
http://www.wikidata.org/entity/Q611704,James D. Halsell,1956,education,http://www.wikidata.org/entity/Q3428253,U.S. Air Force Test Pilot School,1,flight school,1941-1960
http://www.wikidata.org/entity/Q6160001,Jared Isaacman,1983,education,http://www.wikidata.org/entity/Q7332681,Ridge High School,1,high school,1981-2000
http://www.wikidata.org/entity/Q6160001,Jared Isaacman,1983,employment,http://www.wikidata.org/entity/Q5305647,Draken International,1,business,1981-2000
http://www.wikidata.org/entity/Q6160001,Jared Isaacman,1983,employment,http://www.wikidata.org/entity/Q105222736,Shift4 Payments,2,company | business,1981-2000
http://www.wikidata.org/entity/Q6160001,Jared Isaacman,1983,education,http://www.wikidata.org/entity/Q3052113,Embry–Riddle Aeronautical University,3,private not-for-profit educational institution | open-access publisher | university,1981-2000
http://www.wikidata.org/entity/Q62030546,Christina Birch,1986,education,http://www.wikidata.org/entity/Q5560973,Gilbert High School,2,public school | high school,1981-2000
http://www.wikidata.org/entity/Q62030546,Christina Birch,1986,membership,http://www.wikidata.org/entity/Q85204076,NASA Astronaut Group 23,1,group of humans,1981-2000
http://www.wikidata.org/entity/Q62030546,Christina Birch,1986,employment,http://www.wikidata.org/entity/Q161562,California Institute of Technology,2,private not-for-profit educational institution | university,1981-2000
http://www.wikidata.org/entity/Q62030546,Christina Birch,1986,education,http://www.wikidata.org/entity/Q503419,University of Arizona,4,public educational institution of the United States | open-access publisher | land-grant university | public university,1981-2000
http://www.wikidata.org/entity/Q62030546,Christina Birch,1986,education,http://www.wikidata.org/entity/Q49108,Massachusetts Institute of Technology,6,university | Institute of Technology | academic publisher | space grant institution | institute of technology | private not-for-profit educational institution,1981-2000
