,uriPer_x,uriPer_y,orgs,numberOrgs,uriOrgs,periods_x,BeginY_x,EndY_x,BeginY_y,EndY_y,periods_y
450,http://www.wikidata.org/entity/Q1240263,http://www.wikidata.org/entity/Q912120,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1970.0,1981.0,1971.0,1982.0,1941-1960
491,http://www.wikidata.org/entity/Q1323571,http://www.wikidata.org/entity/Q1338436,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1969.0,1980.0,1967.0,1978.0,1941-1960
495,http://www.wikidata.org/entity/Q1323571,http://www.wikidata.org/entity/Q1372276,United States Naval Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q559549,1941-1960,1969.0,1980.0,1969.0,1980.0,1941-1960
497,http://www.wikidata.org/entity/Q1323571,http://www.wikidata.org/entity/Q1384788,United States Naval Test Pilot School|Naval Postgraduate School,2,http://www.wikidata.org/entity/Q1128819|http://www.wikidata.org/entity/Q1515048,1941-1960,1969.0,1980.0,1974.0,1985.0,1941-1960
277,http://www.wikidata.org/entity/Q112284,http://www.wikidata.org/entity/Q278656,Massachusetts Institute of Technology|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q49108|http://www.wikidata.org/entity/Q3428253,1921-1940,1953.0,1964.0,1950.0,1961.0,1921-1940
279,http://www.wikidata.org/entity/Q112284,http://www.wikidata.org/entity/Q297801,U.S. Air Force Test Pilot School|United States Naval Academy,2,http://www.wikidata.org/entity/Q3428253|http://www.wikidata.org/entity/Q559549,1921-1940,1953.0,1964.0,1948.0,1959.0,1921-1940
2209,http://www.wikidata.org/entity/Q324774,http://www.wikidata.org/entity/Q611704,United States Air Force Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q3428253,1941-1960,1975.0,1986.0,1974.0,1985.0,1941-1960
1911,http://www.wikidata.org/entity/Q297801,http://www.wikidata.org/entity/Q720191,United States Naval Academy|U.S. Air Force Test Pilot School,2,http://www.wikidata.org/entity/Q559549|http://www.wikidata.org/entity/Q3428253,1921-1940,1948.0,1959.0,1948.0,1959.0,1921-1940
1922,http://www.wikidata.org/entity/Q30157792,http://www.wikidata.org/entity/Q3157177,United States Air Force Academy|Massachusetts Institute of Technology,2,http://www.wikidata.org/entity/Q1331280|http://www.wikidata.org/entity/Q49108,1961-1980,1995.0,2006.0,1992.0,2003.0,1961-1980
1979,http://www.wikidata.org/entity/Q314921,http://www.wikidata.org/entity/Q360060,Gagarin Air Force Academy|Military Academy of the General Staff of the Armed Forces of Russia,2,http://www.wikidata.org/entity/Q490188|http://www.wikidata.org/entity/Q1934911,1941-1960,1960.0,1971.0,1959.0,1970.0,1941-1960
